;inn;case_number;law_court;why;argument;why_argument;результат;УФНС;Категория спора;Наименование НП;Предмет спора;Общая сумма исковых требований (руб);причины;последствия
16;-;А41-12777/2021;ДЕСЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;Кроме того, налоговый орган в оспариваемом решении и отзыве называет данный ответ Заключением. При том, что в соответствии с АПК РФ специалисты высказывают мнения, а Заключения дают эксперты. Министерства экологии и природопользования Московской области не является экспертной организацией, описательная часть исследования отсутствует, в связи с чем названный ответ не является допустимым доказательством. В Определении Конституционного Суда Российской Федерации от 11 марта 2021 N 375-О указано, что для корректного определения объекта обложения налогом на добычу полезных ископаемых правоприменительным органам требуется в каждом случае установить, является ли конкретная операция частью технологического цикла по добыче, т.е. извлечению полезного ископаемого из недр (или же по переработке его в качественно иную продукцию), а равно является ли содержащаяся в добытой породе продукция первой по своему качеству, соответствующей требованиям применимых стандартов (или же таковой является продукция, полученная путем ее дальнейшей переработки), технологические операции определяются по технической документации, заключениям экспертов и специалистов, а не по опросам свидетелей. ;в Определении Конституционного Суда Российской Федерации от 11 марта 2021 N 375-О указано, что для корректного определения объекта обложения налогом на добычу полезных ископаемых правоприменительным органам требуется в каждом случае установить, является ли конкретная операция частью технологического цикла по добыче, то есть извлечению полезного ископаемого из недр (или же по переработке его в качественно иную продукцию), а равно является ли содержащаяся в добытой породе продукция первой по своему качеству, соответствующей требованиям применимых стандартов (или же таковой является продукция, полученная путем ее дальнейшей переработки), технологические операции определяются по технической документации, заключениям экспертов и специалистов, а не по опросам свидетелей;в пользу налогоплательщика;МО;НП к НО;"ООО ""Богаевский карьер""";ВНП;50653140,53;документы (информация);доначисление
17;-;А41-12777/2021;ДЕСЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;Расчетная стоимость добытого полезного ископаемого определяется налогоплательщиком самостоятельно на основании данных налогового учета и налогоплательщик применяет тот порядок признания доходов и расходов, который он применяет для определения налоговой базы по налогу на прибыль организаций. При этом общая сумма расходов, произведенных налогоплательщиком в налоговом периоде, распределяется между добытыми полезными ископаемыми пропорционально доле каждого добытого полезного ископаемого в общем количестве добытых полезных ископаемых в данном налоговом периоде. Иного порядка определения расчетной стоимости добытого полезного ископаемого Кодексом не предусмотрено. Доводы инспекции о том, что представленные заявителем заключения специалистов и выводы экспертов в Заключении судебной экспертизы даны по вопросам права, отнесенным к исключительной компетенции арбитражного суда, основаны на неверном толковании понятий. ;"расчетная стоимость добытого полезного ископаемого определяется налогоплательщиком самостоятельно на основании данных налогового учета и налогоплательщик применяет тот порядок признания доходов и расходов, который он применяет для определения налоговой базы по налогу на прибыль организаций; при этом общая сумма расходов, произведенных налогоплательщиком в налоговом периоде, распределяется между добытыми полезными ископаемыми пропорционально доле каждого добытого полезного ископаемого в общем количестве добытых полезных ископаемых в данном налоговом периоде";в пользу налогоплательщика;МО;НП к НО;"ООО ""Богаевский карьер""";ВНП;50653140,53;документы (информация);доначисление
18;-;А41-12777/2021;ДЕСЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;"В силу абзаца 12 части 2 статьи 86 АПК РФ, если эксперт при проведении экспертизы установит обстоятельства, которые имеют значение для дела и по поводу которых ему не были поставлены вопросы, он вправе включить выводы об этих обстоятельствах в свое заключение. В связи с этим эксперты, выявив в выводах налогового органа, изложенных в оспариваемом решении и отзыве, мнение о том, что применении ГОСТ 8267-93 и ГОСТ 8736-93 для оценки качества полезного ископаемого доказывает факт добычи именно песка, гравия и щебня, а не песчано-гравийной смеси, сочли необходимым включить в свое Заключение вывод о том, что в соответствии с имеющейся нормативной базой (п.п 4.4.2, 4.4.4 и 6.4 межгосударственного стандарта 23735-2014 ""Смеси песчано-гравийные для строительные для строительных работ. Технические условия""), оценка качественных характеристик песчано-гравийной смеси производится через проверку в лабораторных условиях входящих в ее состав песков и гравия на соответствие ГОСТ 8267-93 и ГОСТ 8736-93. Обойтись без этих стандартов при оценке качества песчано-гравийной смеси невозможно. То есть одно только упоминание указанных налоговым органом стандартов качества не позволяет утверждать, что на месторождении добывается именно щебень, гравий, песок, а не песчано-гравийная смесь. В силу пункта 1 статьи 337 Налогового кодекса Российской Федерации полезным ископаемым признается продукция горнодобывающей промышленности и разработки карьеров, содержащаяся в фактически добытом (извлеченном) из недр (отходов, потерь) минеральном сырье (породе, жидкости и иной смеси), первая по своему качеству соответствующая стандартам. Не может быть признана полезным ископаемым продукция, полученная при дальнейшей переработке (обогащении, технологическом переделе) полезного ископаемого, являющаяся продукцией обрабатывающей промышленности. Согласно подпункту 10 пункта 2 той же статьи видом добытого полезного ископаемого является неметаллическое сырье, используемое в основном в строительной индустрии, в том числе песчано-гравийные смеси. ";"согласно пункту 1 статьи 336 НК РФ объектом налогообложения НДПИ признаются полезные ископаемые, добытые из недр на территории Российской Федерации на участке недр (в том числе из залежи углеводородного сырья), предоставленном налогоплательщику в пользование в соответствии с законодательством Российской Федерации; в соответствии с пунктом 1 статьи 337 НК РФ в целях настоящей главы указанные в пункте 1 статьи 336 НК РФ полезные ископаемые именуются добытым полезным ископаемым; полезным ископаемым признается продукция горнодобывающей промышленности и разработки карьеров (если иное не предусмотрено пунктом 3 настоящей статьи), содержащаяся в фактически добытом (извлеченном) из недр (отходов, потерь) минеральном сырье (породе, жидкости и иной смеси), первая по своему качеству соответствующая национальному стандарту, региональному стандарту, международному стандарту, а в случае отсутствия указанных стандартов для отдельного добытого полезного ископаемого стандарту организации";в пользу налогоплательщика;МО;НП к НО;"ООО ""Богаевский карьер""";ВНП;50653140,53;документы (информация);доначисление
19;2505008358;А41-66482/2021;ДЕСЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;"Вместе с тем, учитывая отсутствие доказательств того, что кредитные денежные средства по спорному договору, а также проценты по ним, были выведены в иностранные юрисдикции, резидентство аффилированных с банком физических лиц является лишь косвенно подлежал исследованию в рамках настоящего дела. Следовательно, задолженность Общества перед ПАО «Промсвязьбанк» по Кредитному договору, являясь формально контролируемой исходя из положений ст. 269 НК РФ, действовавших в 2016 году, не обладала признаками таковой, фактически являясь задолженностью одной российской организации перед другой российской организацией. Следовательно, спорные внереализационные расходы связаны исключительно с российским долговым финансированием по следующим критериям: 1. По источнику кредита: кредит выдан российской организацией без привлечения иностранного капитала, а равно без какого-либо иного участия иностранной организации в сделке (ни в момент ее совершения, ни в последующем при обслуживании долгового обязательства); 2. ";объектом обложения НДС признаются реализация товаров (работ, услуг) на территории РФ, в том числе реализация предметов залога и передача товаров (результатов выполненных работ, оказание услуг) по соглашению о предоставлении отступного или новации, а также передача имущественных прав;в пользу налогоплательщика;МО;НП к НО;"ООО ""Лимкар""";ВНП;-;расчеты;штрафные санкции
20;2505008358;А41-66482/2021;ДЕСЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;"Вместе с тем, учитывая отсутствие доказательств того, что кредитные денежные средства по спорному договору, а также проценты по ним, были выведены в иностранные юрисдикции, резидентство аффилированных с банком физических лиц является лишь косвенно подлежал исследованию в рамках настоящего дела. Следовательно, задолженность Общества перед ПАО «Промсвязьбанк» по Кредитному договору, являясь формально контролируемой исходя из положений ст. 269 НК РФ, действовавших в 2016 году, не обладала признаками таковой, фактически являясь задолженностью одной российской организации перед другой российской организацией. Следовательно, спорные внереализационные расходы связаны исключительно с российским долговым финансированием по следующим критериям: 1. По источнику кредита: кредит выдан российской организацией без привлечения иностранного капитала, а равно без какого-либо иного участия иностранной организации в сделке (ни в момент ее совершения, ни в последующем при обслуживании долгового обязательства); 2. По контролю: «технический» характер иностранной организации, контролируемой резидентами РФ, исключает на ее стороне возможности контроля российского заёмщика; 3. ";объектом обложения НДС признаются реализация товаров (работ, услуг) на территории РФ, в том числе реализация предметов залога и передача товаров (результатов выполненных работ, оказание услуг) по соглашению о предоставлении отступного или новации, а также передача имущественных прав;в пользу налогоплательщика;МО;НП к НО;"ООО ""Лимкар""";ВНП;-;расчеты;штрафные санкции
21;5027070580;А41-16810/2021;ДЕСЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;Как следует из материалов дела, Межрайонная ИФНС России № 17 по Московской области в соответствии со статьей 88 Налогового кодекса Российской Федерации (далее –НК РФ) проведена камеральная налоговая проверка уточненной налоговой декларации по земельному налогу за 2019 год (номер корректировки 2), представленной АО «ЛЗМ» 15.07.2020. По результатам проверки 29.10.2020 на основании пункта 1 статьи 100 НК РФ инспекцией составлен акт камеральной налоговой проверки № 6401 (далее – акт). Рассмотрев акт, пояснения налогоплательщика и письменные возражения от 09.11.2020 № 510/674 (вх. от 10.11.2020 № 59898) к акту, материалы налоговой проверки, заместителем начальника инспекции в соответствии с положениями статьи 101 НК РФ 23.12.2020 принято решение № 1064 о об отказе в привлечении к ответственности за совершение налогового правонарушения (далее – решение). В соответствии с названным решением налогоплательщику доначислен земельный налог в сумме 1 231 251 руб., начислены пени – 39 024,49руб., в привлечении к налоговой ответственности отказано, предложения уплатить недоимку и пени и внести исправления в документы бухгалтерского и налогового учета. Основанием для доначисления земельного налога за 2019 год послужил установленный налоговым органом факт занижения обществом налоговой базы при исчислении земельного налога за данный период. ;нарушение налоговым органом статьи 100 НК РФ при оформлении результатов налоговой проверки в части определения сумм занижения налоговой базы по НДС и налогу на прибыль в определенных налоговых периодах является существенным, грубо нарушающим право налогоплательщика на защиту;в пользу налогоплательщика;МО;НП к НО;"АО ""ЛЗМ""";КНП;-;недоимка;отказ в льготе
22;5027070580;А41-16810/2021;ДЕСЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;Таким образом, из находящихся в системной связи положений указанных федеральных законов следует, что федеральный законодатель однозначно и непротиворечиво определил существенный элемент налогового обязательства по земельному налогу – налоговую базу для налогоплательщиков-организаций как кадастровую стоимость земельного участка, указанную в Едином государственном реестре недвижимости по состоянию на 1 января года, являющегося налоговым периодом. Приведенное правовое регулирование, направленное на заблаговременное определение в достоверном государственном источнике экономических показателей, необходимых для обложения земельным налогом, в полной мере согласуется с правовой позицией Конституционного Суда Российской Федерации, в соответствии с которой свобода предпринимательской деятельности в ее конституционно-правовом значении не предопределяет получение гарантированного результата от осуществления экономической деятельности, тем не менее, она предполагает защиту от рисков, связанных с произвольными и необоснованными, нарушающими нормальный (сложившийся) режим хозяйствования решениями и действиями органов публичной власти. Налогоплательщик в целях организации планирования хозяйственной деятельности должен быть заблаговременно осведомлен о составе и содержании своих налоговых обязательств, с тем чтобы иметь возможность заранее учесть связанные с этим затраты в рамках расходов на осуществление экономической деятельности. ;федеральный законодатель однозначно и непротиворечиво определил существенный элемент налогового обязательства по земельному налогу – налоговую базу для налогоплательщиков-организаций как кадастровую стоимость земельного участка, указанную в Едином государственном реестре недвижимости по состоянию на 1 января года, являющегося налоговым периодом;в пользу налогоплательщика;МО;НП к НО;"АО ""ЛЗМ""";КНП;-;недоимка;отказ в льготе
23;5027070580;А41-16810/2021;ДЕСЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;Таким образом, из находящихся в системной связи положений указанных федеральных законов следует, что федеральный законодатель однозначно и непротиворечиво определил существенный элемент налогового обязательства по земельному налогу – налоговую базу для налогоплательщиков-организаций как кадастровую стоимость земельного участка, указанную в Едином государственном реестре недвижимости по состоянию на 1 января года, являющегося налоговым периодом. Приведенное правовое регулирование, направленное на заблаговременное определение в достоверном государственном источнике экономических показателей, необходимых для обложения земельным налогом, в полной мере согласуется с правовой позицией Конституционного Суда Российской Федерации, в соответствии с которой свобода предпринимательской деятельности в ее конституционно-правовом значении не предопределяет получение гарантированного результата от осуществления экономической деятельности, тем не менее, она предполагает защиту от рисков, связанных с произвольными и необоснованными, нарушающими нормальный (сложившийся) режим хозяйствования решениями и действиями органов публичной власти. Налогоплательщик в целях организации планирования хозяйственной деятельности должен быть заблаговременно осведомлен о составе и содержании своих налоговых обязательств, с тем чтобы иметь возможность заранее учесть связанные с этим затраты в рамках расходов на осуществление экономической деятельности. Затраты на уплату фискальных платежей не должны носить внезапный характер, выступая в качестве непреодолимого препятствия для реализации экономической свободы (Постановление Конституционным Судом Российской Федерации от 02.07.2013 № 17-П). Вытекающие из Конституции Российской Федерации принципы юридического равенства и справедливости в правовом демократическом государстве требуют не только правовой определенности, но и предсказуемости правового регулирования, которое должно осуществляться таким образом, чтобы соблюдался принцип поддержания доверия к закону и действиям государства, предполагающий недопустимость внесения произвольных изменений в действующую систему правовых норм (Постановление Конституционного Суда Российской Федерации от 24.05.2001 № 8-П). Только в таком случае возникают предпосылки для конституционно-правового режима разумной стабильности условий хозяйствования, при котором налогоплательщики, действующие добросовестно, должны получать государственную защиту от рисков, создаваемых публичной властью, и в том числе от внезапных изменений налогового законодательства, не позволяющих налогоплательщикам своевременно подготовиться к изменяющимся условиям осуществления предпринимательской деятельности. ;федеральный законодатель однозначно и непротиворечиво определил существенный элемент налогового обязательства по земельному налогу – налоговую базу для налогоплательщиков-организаций как кадастровую стоимость земельного участка, указанную в Едином государственном реестре недвижимости по состоянию на 1 января года, являющегося налоговым периодом;в пользу налогоплательщика;МО;НП к НО;"АО ""ЛЗМ""";КНП;-;недоимка;отказ в льготе
24;5027070580;А41-16810/2021;ДЕСЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;Таким образом, из находящихся в системной связи положений указанных федеральных законов следует, что федеральный законодатель однозначно и непротиворечиво определил существенный элемент налогового обязательства по земельному налогу – налоговую базу для налогоплательщиков-организаций как кадастровую стоимость земельного участка, указанную в Едином государственном реестре недвижимости по состоянию на 1 января года, являющегося налоговым периодом. Приведенное правовое регулирование, направленное на заблаговременное определение в достоверном государственном источнике экономических показателей, необходимых для обложения земельным налогом, в полной мере согласуется с правовой позицией Конституционного Суда Российской Федерации, в соответствии с которой свобода предпринимательской деятельности в ее конституционно-правовом значении не предопределяет получение гарантированного результата от осуществления экономической деятельности, тем не менее, она предполагает защиту от рисков, связанных с произвольными и необоснованными, нарушающими нормальный (сложившийся) режим хозяйствования решениями и действиями органов публичной власти. Налогоплательщик в целях организации планирования хозяйственной деятельности должен быть заблаговременно осведомлен о составе и содержании своих налоговых обязательств, с тем чтобы иметь возможность заранее учесть связанные с этим затраты в рамках расходов на осуществление экономической деятельности. Затраты на уплату фискальных платежей не должны носить внезапный характер, выступая в качестве непреодолимого препятствия для реализации экономической свободы (Постановление Конституционным Судом Российской Федерации от 02.07.2013 № 17-П). ;федеральный законодатель однозначно и непротиворечиво определил существенный элемент налогового обязательства по земельному налогу – налоговую базу для налогоплательщиков-организаций как кадастровую стоимость земельного участка, указанную в Едином государственном реестре недвижимости по состоянию на 1 января года, являющегося налоговым периодом;в пользу налогоплательщика;МО;НП к НО;"АО ""ЛЗМ""";КНП;-;недоимка;отказ в льготе
25;5027070580;А41-16810/2021;ДЕСЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;Как верно установлено судом первой инстанции, общество в силу пункта 1 статьи 391 НК РФ обязано было определить налоговую базу по земельному налогу, подлежащему уплате за 2019 год, исходя из кадастровой стоимости спорных земельных участков, содержащихся в ЕГРН по состоянию на 01.01.2019, без учета ее изменения, обусловленного утверждением Распоряжения Министерства экологии и природопользования Российской Федерации от 29.03.2019 № 004Д «Об утверждении результатов государственной кадастровой оценки земельных участков в составе земель промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земель обеспечения космической деятельности, земель обороны, безопасности и земли иного, специального назначения, земельных участков, категория которых не установлена на территории Московской области», установившего кадастровую стоимость спорных земельных участков в ином размере. ;налогоплательщик в силу пункта 1 статьи 391 НК РФ обязан был определить налоговую базу по земельному налогу, подлежащему уплате за 2019 год, исходя из кадастровой стоимости спорных земельных участков, содержащихся в ЕГРН по состоянию на 01.01.2019, без учета ее изменения, обусловленного утверждением Распоряжения Министерства экологии и природопользования Российской Федерации от 29.03.2019 № 004Д «Об утверждении результатов государственной кадастровой оценки земельных участков в составе земель промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земель обеспечения космической деятельности, земель обороны, безопасности и земли иного, специального назначения, земельных участков, категория которых не установлена на территории Московской области», установившего кадастровую стоимость спорных земельных участков в ином размере;в пользу налогоплательщика;МО;НП к НО;"АО ""ЛЗМ""";КНП;-;недоимка;отказ в льготе
26;5027070580;А41-16810/2021;ДЕСЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;"Материалами дела подтверждается, что в 2019 году общество являлось собственником земельных участков с кадастровыми номерами: 50:22:00010310:2325; 50:22:00010310:2326; 50:22:00010310:2327. Как верно установлено судом первой инстанции, общество в силу пункта 1 статьи 391 НК РФ обязано было определить налоговую базу по земельному налогу, подлежащему уплате за 2019 год, исходя из кадастровой стоимости спорных земельных участков, содержащихся в ЕГРН по состоянию на 01.01.2019, без учета ее изменения, обусловленного утверждением Распоряжения Министерства экологии и природопользования Российской Федерации от 29.03.2019 № 004Д «Об утверждении результатов государственной кадастровой оценки земельных участков в составе земель промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земель обеспечения космической деятельности, земель обороны, безопасности и земли иного, специального назначения, земельных участков, категория которых не установлена на территории Московской области», установившего кадастровую стоимость спорных земельных участков в ином размере. Обществом 26 марта 2019 года были получены выписки из Единого государственного реестра недвижимости о кадастровой стоимости объектов недвижимости (т. ";налогоплательщик в силу пункта 1 статьи 391 НК РФ обязан был определить налоговую базу по земельному налогу, подлежащему уплате за 2019 год, исходя из кадастровой стоимости спорных земельных участков, содержащихся в ЕГРН по состоянию на 01.01.2019, без учета ее изменения, обусловленного утверждением Распоряжения Министерства экологии и природопользования Российской Федерации от 29.03.2019 № 004Д «Об утверждении результатов государственной кадастровой оценки земельных участков в составе земель промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земель обеспечения космической деятельности, земель обороны, безопасности и земли иного, специального назначения, земельных участков, категория которых не установлена на территории Московской области», установившего кадастровую стоимость спорных земельных участков в ином размере;в пользу налогоплательщика;МО;НП к НО;"АО ""ЛЗМ""";КНП;-;недоимка;отказ в льготе
27;5027070580;А41-16810/2021;ДЕСЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;В соответствии с пунктом 1 статьи 390 НК РФ налоговая база по земельному налогу определяется как кадастровая стоимость земельных участков, признаваемых объектом налогообложения в соответствии со статьей 389 НК РФ. В соответствии с пунктом 1 статьи 391 НК РФ налоговая база определяется в отношении каждого земельного участка как его кадастровая стоимость, внесенная в ЕГРН и подлежащая применению с 1 января года, являющегося налоговым периодом, с учетом особенностей, предусмотренных статьей 391 НК РФ. Из пункта 1.1 статьи 391 НК РФ (в редакции, действующей в спорный период) следует, что изменение кадастровой стоимости земельного участка в течение налогового периода не учитывается при определении налоговой базы в этом и предыдущих налоговых периодах, если иное не предусмотрено пунктом 1.1 статьи 391 НК РФ. Изменение кадастровой стоимости земельного участка вследствие изменения качественных и (или) количественных характеристик земельного участка учитывается при определении налоговой базы со дня внесения в ЕГРН сведений, являющихся основанием для определения кадастровой стоимости. ;из пункта 1.1 статьи 391 НК РФ (в редакции, действующей в спорный период) следует, что изменение кадастровой стоимости земельного участка в течение налогового периода не учитывается при определении налоговой базы в этом и предыдущих налоговых периодах, если иное не предусмотрено пунктом 1.1 статьи 391 НК РФ. Изменение кадастровой стоимости земельного участка вследствие изменения качественных и (или) количественных характеристик земельного участка учитывается при определении налоговой базы со дня внесения в ЕГРН сведений, являющихся основанием для определения кадастровой стоимости;в пользу налогоплательщика;МО;НП к НО;"АО ""ЛЗМ""";КНП;-;недоимка;отказ в льготе
